City Name,State Code/Country Name,Latitude,Longitude,Irradiance,Avg temp,Max temp,Min temp
Anchorage,AK,61.2163129,-149.894852,2.568,2.65,23.444,-21.168
International Falls,CO,48.601033,-93.4105904,3.616,3.684,32.75,-38.022
Waltham,MA,42.3756401,-71.2358004,3.864,9.892,34.066,-20.506
Chicago,IL,41.8755616,-87.6244212,3.89,10.03,29.722,-16.432
Dallas,TX,32.7762719,-96.7968559,4.7,18.836,41.866,-7.002
El Segundo,CA,33.917028,-118.4156337,5.124,17.754,39.928,1.38
Oakland,CA,37.8044557,-122.2713563,4.774,14.146,35.334,1.322
Phoenix,AL,-29.7072076,-51.1859356,4.602,18.834,35.942,-0.06
Portland,OR,45.5202471,-122.6741949,3.722,10.702,38.43,-8.156
Prineville,OR,44.2998261,-120.834972,4.412,8.042,35.92,-17.022
Mayes County,OK,36.3047676,-95.2355722,4.496,15.088,37.67,-12.8
Santa Clara,CA,37.2333253,-121.6846349,5.322,14.214,37.218,0.044
Seattle,WA,47.6038321,-122.3300624,3.488,10.74,32.514,-5.472
Austin,TX,30.2711286,-97.7436995,4.84,20.522,42.37,-5.628
Houston,TX,29.7589382,-95.3676974,4.662,20.928,39.518,-4.856
Potrero,CA,32.6047822,-116.6130731,5.838,17.462,38.336,3.002
Atlanta,GA,33.7489924,-84.3902644,4.598,17.266,37.78,-8.504
New York,NY,40.7127281,-74.0060152,3.94,12.532,30.264,-10.884
Bridgeport,CT,41.1670412,-73.2048348,3.906,11.938,31.406,-13.2
Edison,NJ,40.538457,-74.39450187,3.94,12.014,34.566,-14.324
Clifton,NJ,40.8584328,-74.1637553,3.94,10.692,36.528,-17.666
Piscataway,NJ,40.5462553,-74.4660408,3.94,12.014,34.566,-14.324
Weehawken,NJ,40.7695457,-74.0204177,3.94,11.358,34.136,-17.102
Charlotte,NC,35.2272086,-80.8430827,4.546,16.752,37.94,-9.028
Maiden,NC,35.5766048,-81.2139216,4.502,15.742,36.632,-9.492
Miami,FL,25.7741728,-80.19362,5.058,25.852,31.656,11.136
Reston,VA,38.955696,-77.34188284,4.152,13.202,36.58,-13.842
San Jose,ca,37.3361905,-121.890583,5.322,14.368,41.57,-2.662
Bluffdale,UT,40.4896712,-111.9388244,4.838,9.678,36.052,-19.248
Salt Lake City,UT,40.7596198,-111.8867975,4.838,8.904,35.584,-20.508
Mesa,Az,33.4151117,-111.8314792,5.834,22.956,47.264,-2.158
Kansas City,KS,39.1134562,-94.626497,4.266,12.764,36.156,-18.968
Los Luna,NM,32.1308466,-107.7768806,5.834,18.31,41.972,-5.454
Altoona,IA,41.6437308,-93.4696031,4.094,10.316,35.572,-25.108
Reno,NV,39.5261206,-119.8126581,5.228,9.162,35.47,-15.5
Kuna,ID,43.4918307,-116.420122,4.548,10.66,39.49,-16.536
Ashburn,VA,39.0300191,-77.46964647,3.988,13.202,36.58,-13.842
Council Bluffs,IA,41.2621283,-95.8613912,4.144,10.254,36.294,-23.554
Dalles,OR,45.6015056,-121.1841587,4.238,8.65,34.17,-13.838
Quincy,WA,47.133365,2.1574605,3.552,12.324,38.172,-6.408
Henrico,VA,37.4957023,-77.335257,4.32,15.088,38.286,-11.64
Huntsville,AL,34.729847,-86.5859011,4.5,16.554,36.796,-10.278
Forest City,NC,35.3340108,-81.8651028,4.502,14.84,35.448,-10.988
New Albany,OH,40.0811745,-82.8087864,3.882,11.584,34.986,-16.958
Gallatin,TN,36.3883031,-86.4475898,4.276,14.696,34.644,-13.59
Calgary,Canada,51.0460954,-114.065465,3.534,3.44,31.32,-29.248
Montreal,Canada,45.5031824,-73.5698065,3.596,6.626,33.568,-32.372
Vancouver,Canada,49.2608724,-123.113952,3.276,7.168,30.866,-16.162
Ottawa,Canada,45.4211435,-75.6900574,3.636,5.78,33.312,-31.978
Kamloops,Canada,50.6758269,-120.339415,3.564,4.082,32.266,-28.186
Singapore,Singapore,1.357107,103.8194992,4.614,27.358,33.376,23.03
Karnataka,India,14.5203896,75.7223521,5.408,25.47,40.992,12.284
Mumbai,India,19.0759899,72.8773928,5.182,26.794,43.64,12.052
Bengaluru,India,12.9767936,77.590082,5.39,24.136,39.078,10.426
Taipei,Taiwan,25.0375198,121.5636796,3.79,23.39,32.2,9.862
Jakarta,Indonesia,-6.1753942,106.827183,4.772,27.544,32.614,22.898
Bekasi,Indonesia,-6.2349858,106.9945444,4.772,27.544,32.614,22.898
Seoul,South Korea,37.5666791,126.9782914,4.108,11.802,33.542,-13.786
Nagano,Japan,36.1143945,138.0319015,3.866,8.708,28.812,-14.354
Aomori,Japan,40.886943,140.590121,3.414,10.536,31.656,-7.368
Sapporo,Japan,43.061936,141.3542924,3.326,6.202,29.962,-17.818
Kuala Lumpur,Malaysia,3.1516964,101.6942371,4.868,25.75,33.494,19.36
Cyberjaya,Malaysia,2.9338908,101.6455587,4.96,25.75,33.494,19.36
Ulaanbaatar,Mongolian State,47.88530635,106.9101047,4.474,-1.092,32.178,-36.23
Astana,Qazaqstan,51.1282205,71.4306682,3.722,2.878,34.484,-36.186
Reykjavik,Iceland,64.145981,-21.9422367,2.304,4.588,18.362,-9.978
Tallinn,Estonia,59.4372155,24.7453688,2.804,6.972,26.602,-13.47
Odense,Denmark,55.3997225,10.3852104,2.97,9.706,25.956,-4.718
Warsaw,Poland,52.2319581,21.0067249,3.076,9.376,34.068,-13.916
Lulea,Sweden,65.5831187,22.1459535,2.554,2.986,26.536,-24.474
Hamina,Finland,60.5688901,27.1881877,2.71,6.09,25.832,-18.56
Kajana,Finland,64.2240872,27.7334227,2.412,2.476,26.268,-27.292
Skien,Norway,59.2662883,9.531135448,2.746,4.442,25.85,-16.032
Ballangen,Norway,68.3428581,16.8313327,2.032,1.494,23.674,-20.888
Oslo,Norway,59.9133301,10.7389701,2.776,5.028,27.088,-17.706
Middenmeer,Netherlands,52.8111468,4.9948462,3.072,11.2,26.942,-2.302
St. Ghislain,Belgium,50.4477484,3.8195241,3.284,10.746,32.81,-6.714
Dublin,Ireland,53.3497645,-6.2602732,2.822,10.162,21.994,-0.162
Newport,UK,51.5718862,-2.975246163,3.034,10.578,27.294,-2.418
Cardiff,UK,51.4816546,-3.1791934,3.034,10.578,27.294,-2.418
Frankfurt,Germany,50.1106444,8.6820917,3.104,10.968,36.9,-9.03
